battery_level,temperature,usage_hours,cpu_usage,ram_usage,device_type,device_age_months,user_rating,charging_speed,screen_brightness,label,issue_type,device,timestamp
65.52341018825797,28.552350245827004,18.54,31.796540232939783,38.84,7,54,5,50.0,50.0,0,healthy,laptop,2024-12-13 14:00:45.805978
82.45885965984208,28.236788209254595,17.11,18.295689726905344,64.58,5,47,2,50.0,50.0,0,healthy,smartwatch,2025-05-16 14:00:45.806052
24.5,36.3,20.6,99.75,27.0,7,31,5,50.0,50.0,1,battery_issue,laptop,2025-07-04 14:00:45.806106
50.0,30.0,8.0,30.0,40.0,2,44,2,8.54,50.0,1,charging_issue,headphones,2025-04-12 14:00:45.806148
50.0,30.0,7.39,30.0,40.0,4,42,4,50.0,50.0,1,screen_crack,smartphone,2025-04-07 14:00:45.806188
78.39,48.23,23.35,45.84,93.86,5,40,1,50.0,50.0,1,connectivity_issue,smartwatch,2025-02-19 14:00:45.806227
64.06,70.28,5.33,90.52,40.0,4,6,3,50.0,50.0,1,overheating,smartphone,2025-08-12 14:00:45.806248
96.25,28.5,21.16,26.28,69.22,1,34,3,50.0,50.0,1,storage_full,tablet,2025-03-22 14:00:45.806262
86.83,45.5,16.15,50.12,61.92,2,44,2,50.0,50.0,1,physical_damage,headphones,2024-12-23 14:00:45.806279
50.42,53.93,21.96,12.54,37.04,5,5,4,50.0,50.0,1,sensor_malfunction,smartwatch,2025-03-14 14:00:45.806294
67.12378979191476,21.9739862874211,18.75,26.765120692692967,40.0,1,43,3,50.0,83.26,0,healthy,tablet,2025-03-09 14:00:45.806309
81.28363978552505,30.34862799193057,14.63,32.67317098105578,53.05,1,19,2,50.0,50.0,0,healthy,tablet,2025-12-04 14:00:45.806322
75.76,22.85,2.24,1.67,91.36,7,24,5,50.0,50.0,1,keyboard_malfunction,laptop,2025-01-02 14:00:45.806334
65.03,52.11,18.52,65.41,48.89,5,58,5,50.0,50.0,1,water_damage,smartwatch,2025-04-13 14:00:45.806345
80.87,54.25,21.26,86.38,56.45,2,59,4,50.0,50.0,1,audio_distortion,headphones,2025-11-24 14:00:45.806357
30.81,76.98,10.77,87.81,40.0,7,44,3,50.0,50.0,1,overheating,laptop,2025-07-10 14:00:45.806369
74.48244224188225,31.913684017604815,17.64,14.80869159174955,63.31,1,6,5,50.0,50.0,0,healthy,tablet,2025-11-28 14:00:45.806382
2.47,34.9,1.74,80.11,64.71,2,38,2,50.0,50.0,1,audio_distortion,headphones,2025-05-20 14:00:45.806393
86.07,53.98,9.28,60.75,47.4,2,53,5,50.0,50.0,1,connectivity_issue,headphones,2025-05-12 14:00:45.806404
62.01,49.61,22.88,0.08,69.65,5,35,5,50.0,50.0,1,connectivity_issue,smartwatch,2025-07-31 14:00:45.806416
58.7293068208687,25.351545437037146,23.48,7.2264743123863,96.74,7,10,4,50.0,50.0,0,healthy,laptop,2025-08-28 14:00:45.806446
67.82404282065025,20.950260159562422,21.75,34.08102725051154,40.0,1,58,4,50.0,83.38,0,healthy,tablet,2025-09-08 14:00:45.806462
84.35,27.78,1.53,16.65,90.92,2,8,4,50.0,50.0,1,connectivity_issue,headphones,2025-03-23 14:00:45.806475
88.6,43.4,2.59,21.89,91.8,7,55,3,50.0,50.0,1,battery_issue,laptop,2025-04-04 14:00:45.806487
65.73,56.48,22.56,60.19,65.34,5,1,4,50.0,50.0,1,screen_damage,smartwatch,2025-07-04 14:00:45.806499
10.9,58.48,18.24,75.86,8.46,7,29,2,50.0,50.0,1,ram_problem,laptop,2025-10-15 14:00:45.806512
68.27,43.59,13.8,42.38,60.85,1,58,3,50.0,50.0,1,storage_full,tablet,2025-10-19 14:00:45.806548
91.5,45.41,5.09,52.55,21.7,1,55,2,50.0,50.0,1,wifi_connectivity,tablet,2025-11-29 14:00:45.806562
9.57,47.19,9.0,70.46,43.1,1,42,1,50.0,50.0,1,screen_issue,tablet,2024-12-18 14:00:45.806576
8.29,40.19,12.29,97.13,82.46,2,15,3,50.0,50.0,1,audio_distortion,headphones,2025-01-01 14:00:45.806588
85.48,59.44,10.79,46.98,28.45,7,25,5,50.0,50.0,1,battery_issue,laptop,2025-01-19 14:00:45.806608
22.68,38.89,9.13,30.0,40.0,5,15,1,50.0,95.88,1,battery_drain,smartwatch,2025-09-17 14:00:45.806622
37.54,54.77,8.26,82.46,40.0,4,53,5,50.0,50.0,1,overheating,smartphone,2025-05-23 14:00:45.806636
55.93,42.72,11.51,68.58,63.72,5,45,4,50.0,50.0,1,water_damage,smartwatch,2025-08-27 14:00:45.806650
19.38,49.33,4.3,6.45,83.35,1,18,5,50.0,50.0,1,charging_problem,tablet,2025-01-01 14:00:45.806664
74.27724590289469,28.504133776664872,2.56,4.116678956267172,24.65,7,56,4,50.0,50.0,0,healthy,laptop,2025-07-28 14:00:45.806678
81.28,21.92,10.16,57.37,16.75,1,4,3,50.0,50.0,1,charging_problem,tablet,2024-12-09 14:00:45.806691
98.91744373705124,28.531758455888536,8.7,1.8768704978574524,13.52,7,33,1,50.0,50.0,0,healthy,laptop,2025-07-09 14:00:45.806723
71.4873698292443,28.290140906327977,8.0,45.326219175233234,40.0,2,15,4,19.1,50.0,0,healthy,headphones,2025-02-20 14:00:45.806738
99.64,54.01,13.12,17.17,19.18,2,19,1,50.0,50.0,1,connectivity_issue,headphones,2025-05-11 14:00:45.806751
78.56672959899569,22.56730024489049,7.56,27.057668356143992,52.96,1,51,5,50.0,50.0,0,healthy,tablet,2025-04-24 14:00:45.806764
29.47,57.94,13.1,55.24,4.89,7,33,2,50.0,50.0,1,battery_issue,laptop,2025-10-04 14:00:45.806782
9.98,54.62,3.75,90.79,80.31,7,35,4,50.0,50.0,1,hard_drive_failure,laptop,2025-07-09 14:00:45.806794
66.78939092057253,23.765068252206937,9.03,43.06746005839137,2.0,7,39,5,50.0,50.0,0,healthy,laptop,2025-03-22 14:00:45.806808
50.0,30.0,12.33,30.0,40.0,4,14,2,50.0,50.0,1,screen_crack,smartphone,2025-01-30 14:00:45.806822
50.0,30.0,8.0,30.0,40.0,4,48,2,14.76,50.0,1,charging_issue,smartphone,2025-01-13 14:00:45.806836
81.54271060750536,34.7322584182378,18.63,20.190447639030346,16.58,2,17,4,50.0,50.0,0,healthy,headphones,2025-06-13 14:00:45.806849
84.34,32.84,10.44,87.68,69.81,5,6,2,50.0,50.0,1,connectivity_issue,smartwatch,2025-02-27 14:00:45.806861
9.78,42.29,15.76,95.29,51.48,1,49,2,50.0,50.0,1,wifi_connectivity,tablet,2025-09-03 14:00:45.806873
7.72,36.67,19.43,30.0,40.0,2,58,2,50.0,76.93,1,battery_drain,headphones,2025-04-17 14:00:45.806887
83.40991484642177,33.048407879353604,1.52,17.43132166557612,12.02,5,9,4,50.0,50.0,0,healthy,smartwatch,2025-01-08 14:00:45.806900
11.18,39.63,23.05,30.0,40.0,4,42,1,50.0,88.52,1,battery_drain,smartphone,2025-09-12 14:00:45.806913
25.84,37.03,6.46,1.21,13.85,5,35,2,50.0,50.0,1,connectivity_issue,smartwatch,2025-07-15 14:00:45.806934
72.4636193685583,23.63000811181422,6.17,43.46644854559416,40.0,7,47,5,50.0,50.0,0,healthy,laptop,2024-12-10 14:00:45.806950
49.34,72.56,8.03,98.35,40.0,7,23,5,50.0,50.0,1,overheating,laptop,2025-09-19 14:00:45.806966
51.997518739706955,29.206860889786533,7.04,11.251949222957936,76.92,5,21,2,50.0,50.0,0,healthy,smartwatch,2024-12-08 14:00:45.806980
55.65,24.83,1.55,53.82,60.06,7,21,2,50.0,50.0,1,keyboard_malfunction,laptop,2025-08-26 14:00:45.806992
1.58,25.85,1.01,61.73,20.63,1,15,3,50.0,50.0,1,charging_problem,tablet,2025-04-29 14:00:45.807021
50.0,30.0,8.0,89.4,93.31,4,34,5,50.0,50.0,1,software_lag,smartphone,2025-05-09 14:00:45.807038
65.4418345762888,32.690001713585055,10.89,48.20281069571542,67.44,5,31,5,50.0,50.0,0,healthy,smartwatch,2025-09-26 14:00:45.807052
63.50362229100757,33.408079473538024,23.99,5.237490137227202,40.0,4,49,4,50.0,82.3,0,healthy,smartphone,2025-08-09 14:00:45.807092
26.53,37.52,17.54,30.0,40.0,4,21,4,50.0,90.45,1,battery_drain,smartphone,2025-01-10 14:00:45.807103
50.0,30.0,10.88,30.0,40.0,4,2,4,50.0,50.0,1,screen_crack,smartphone,2025-06-19 14:00:45.807115
